,x_i,n,sum_1,sum_2
28,-7.200000000000010,76.000000000000000,-17804.32188849998,65536.0
29,-7.100000000000010,74.000000000000000,-2518.0367971512583,-36864.0
30,-7.000000000000011,72.000000000000000,-250.66792114595464,5120.0
31,-6.900000000000011,70.000000000000000,29.770368635544273,1536.0
32,-6.800000000000011,68.000000000000000,10.930049940372605,-448.0
33,-6.700000000000012,66.000000000000000,-1.118429998986701,-16.0
34,-6.600000000000012,65.000000000000000,2.09102263852624,-8.0
35,-6.500000000000012,63.000000000000000,-0.613429704186616,-8.0
36,-6.400000000000013,61.000000000000000,-0.560690392475768,-3.0
37,-6.300000000000013,59.000000000000000,-0.735166282959516,1.0
38,-6.200000000000014,58.000000000000000,-0.557466891965002,-0.875
39,-6.100000000000014,56.000000000000000,-0.562213778554265,-0.359375
40,-6.000000000000014,54.000000000000000,-0.634712718062117,-0.58203125
41,-5.900000000000015,53.000000000000000,-0.70870349860738,-0.708984375
42,-5.800000000000015,51.000000000000000,-0.678165285504386,-0.67578125
43,-5.700000000000015,50.000000000000000,-0.583631272575412,-0.5819091796875
44,-5.600000000000016,48.000000000000000,-0.537671478210746,-0.53778076171875
45,-5.500000000000016,47.000000000000000,-0.592262686280576,-0.592300415039062
46,-5.400000000000016,45.000000000000000,-0.686421751832102,-0.686431884765625
47,-5.300000000000017,44.000000000000000,-0.719006493624264,-0.719022750854492
48,-5.200000000000017,42.000000000000000,-0.65669968035308,-0.656697273254395
49,-5.100000000000017,41.000000000000000,-0.562611489725255,-0.56261157989502
50,-5.000000000000018,39.000000000000000,-0.527917291348437,-0.527917504310608
51,-4.900000000000018,38.000000000000000,-0.58441133824934,-0.584411591291428
52,-4.800000000000018,37.000000000000000,-0.680465033797909,-0.680465042591095
53,-4.700000000000019,36.000000000000000,-0.732596640519102,-0.732596650719643
54,-4.600000000000019,34.000000000000000,-0.697918568449532,-0.697918565943837
55,-4.500000000000020,33.000000000000000,-0.605174292003069,-0.605174291878939
56,-4.400000000000020,32.000000000000000,-0.526280184779789,-0.526280186604708
57,-4.300000000000020,31.000000000000000,-0.519141482509268,-0.519141481257975
58,-4.200000000000021,29.000000000000000,-0.587800538163782,-0.587800538167357
